** CONVERTED FROM ss00r01.edf using edfapi 4.2.762.0 Linux   standalone Jul 20 2023 on Thu Oct 17 13:11:11 2024
** DATE: Sat Oct 12 03:26:32 2024
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.51 Mar 13 2010
** CAMERA: EyeLink CL-OL HEAD Version 1.0 Sensor=BH9
** SERIAL NUMBER: CLO-ZAD17
** CAMERA_CONFIG: ZAD17140.SCD
**

MSG	1207252 DISPLAY_COORDS  0 0 1919 1079
MSG	1207264 RECCFG CR 1000 1 1 L
MSG	1207264 ELCLCFG TOWER
MSG	1207264 GAZE_COORDS 0.00 0.00 1919.00 1079.00
MSG	1207264 THRESHOLDS L 58 218
MSG	1207264 ELCL_PROC ELLIPSE  (5)
MSG	1207264 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30
MSG	1207265 !MODE RECORD CR 1000 1 1 L
START	1207266 	LEFT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
SAMPLES	GAZE	LEFT	RATE	1000.00	TRACKING	CR	FILTER	1
1207663	 1023.0	  626.7	 2293.0	...
1207664	 1020.3	  626.3	 2293.0	...
1207665	 1020.4	  625.8	 2284.0	...
1207666	 1020.4	  626.3	 2284.0	...
1207667	 1020.3	  626.8	 2285.0	...
1207668	 1020.3	  626.8	 2286.0	...
1207669	 1019.7	  626.8	 2300.0	...
1207670	 1019.1	  630.8	 2300.0	...
1207671	 1021.3	  630.7	 2302.0	...
1207672	 1021.5	  629.2	 2302.0	...
1207673	 1020.9	  627.8	 2296.0	...
1207674	 1021.2	  628.2	 2290.0	...
1207675	 1021.6	  628.6	 2290.0	...
1207676	 1021.6	  628.5	 2291.0	...
1207677	 1022.1	  628.5	 2291.0	...
1207678	 1022.1	  628.5	 2291.0	...
1207679	 1022.4	  627.1	 2291.0	...
1207680	 1022.4	  626.8	 2299.0	...
1207681	 1018.5	  626.9	 2299.0	...
1207682	 1018.5	  626.9	 2297.0	...
1207683	 1020.0	  627.7	 2297.0	...
1207684	 1020.0	  627.7	 2297.0	...
1207685	 1020.0	  627.7	 2304.0	...
1207686	 1019.5	  625.7	 2304.0	...
1207687	 1019.0	  623.8	 2304.0	...
1207688	 1019.3	  621.9	 2304.0	...
1207689	 1019.3	  621.9	 2304.0	...
1207690	 1019.1	  623.1	 2303.0	...
